record_date,mortgage_rate,consumer_goods_production,cpi,household_net_worth,industrial_production,rates_3months,job_openings,money_supply,money_velocity
2001-01,7.032500,103.0259,175.60,41994416.00,91.89030,5.62,5234.00,4981.020000,2.085
2001-04,7.077500,102.6877,176.40,43198401.00,90.72930,4.53,4615.00,5167.060000,2.059
2001-07,7.127500,102.2020,177.40,42164052.00,89.22600,3.66,4447.00,5182.800000,2.014
2001-10,6.617500,102.4001,177.60,43746475.00,88.39260,2.31,3707.00,5316.200000,1.980
2002-01,6.997500,103.8754,177.70,44391512.00,88.46650,1.74,3699.00,5455.300000,1.969
2002-04,6.985000,103.9730,179.30,43759840.00,89.55320,1.87,3471.00,5533.780000,1.972
2002-07,6.485000,105.4834,180.00,42660310.00,90.64550,1.79,3367.00,5569.500000,1.953
2002-10,6.112500,104.7528,181.20,43550562.00,90.40410,1.73,3479.00,5684.400000,1.927
2003-01,5.916000,105.8743,182.60,43717715.00,91.13550,1.29,3441.00,5800.700000,1.915
2003-04,5.812500,105.4597,183.20,45531292.00,90.42810,1.24,3108.00,5940.100000,1.901
2003-07,5.632500,106.4079,183.70,46381205.00,90.98960,1.05,2981.00,6034.700000,1.905
2003-10,5.952000,105.7006,184.90,48249658.00,91.50050,1.10,3305.00,6051.500000,1.940
2004-01,5.712500,106.9028,186.30,50690855.00,92.32700,1.06,3424.00,6067.800000,1.950
2004-04,5.830000,107.1054,187.40,51354965.00,92.90960,1.08,3511.00,6239.900000,1.940
2004-07,6.056000,106.3990,189.10,52541696.00,93.55110,1.57,3814.00,6280.600000,1.949
2004-10,5.722500,107.8311,190.80,54708520.00,94.56710,2.04,3943.00,6351.475000,1.958
2005-01,5.710000,108.7219,191.60,55567501.00,95.88310,2.61,3804.00,6407.200000,1.985
2005-04,5.855000,108.8555,193.70,56983490.00,96.62800,3.09,4159.00,6518.525000,1.995
2005-07,5.695000,109.9338,194.90,58543486.00,96.83830,3.57,4256.00,6528.925000,2.000
2005-10,6.065000,110.5267,199.10,59956641.00,96.43830,4.13,4184.00,6608.740000,2.001
2006-01,6.145000,110.2531,199.30,61640711.00,98.13050,4.56,4397.00,6709.960000,2.016
2006-04,6.507500,110.6324,200.70,61738378.00,98.67690,5.03,4790.00,6870.050000,2.017
2006-07,6.762500,110.0152,202.90,62751041.00,98.98040,5.46,4394.00,6869.380000,2.006
2006-10,6.357500,110.4218,201.90,64122749.00,99.12530,5.33,4591.00,6952.420000,1.997
2007-01,6.217500,110.5212,203.44,65105400.00,99.75710,5.32,4763.00,7104.880000,1.993
2007-04,6.180000,111.4751,205.90,65646002.00,101.58740,5.31,4689.00,7289.720000,1.986
2007-07,6.695000,110.7922,207.60,66444087.00,101.49250,5.32,4598.00,7285.120000,1.977
2007-10,6.375000,109.4650,209.19,65757345.00,101.63450,5.08,4636.00,7371.240000,1.977
2008-01,5.758000,108.8706,212.17,63929370.00,102.14000,3.84,4624.00,7503.225000,1.939
2008-04,5.917500,106.4794,213.94,62782002.00,100.74240,2.85,4035.00,7775.875000,1.927
2008-07,6.426000,104.9653,219.02,60434077.00,99.42140,2.79,3749.00,7748.400000,1.908
2008-10,6.200000,102.6413,217.00,57567456.00,94.49560,4.32,3377.00,7923.025000,1.813
2009-01,5.047500,97.3396,211.93,55791956.00,88.38110,1.02,2738.00,8285.250000,1.735
2009-04,4.810000,96.5678,212.71,56348968.00,85.78830,0.89,2295.00,8449.725000,1.709
2009-07,5.222000,96.1707,214.73,58086671.00,85.70440,0.35,2232.00,8411.575000,1.711
2009-10,4.952000,98.1296,216.51,58296194.00,87.60350,0.24,2406.00,8422.500000,1.726
2010-01,5.030000,98.0607,217.49,59496697.00,89.19110,0.20,2837.00,8479.150000,1.739
2010-04,5.098000,96.7827,217.40,58773113.00,90.45910,0.30,3153.00,8611.550000,1.746
2010-07,4.564000,99.0078,217.61,60779596.00,92.25220,0.41,3082.00,8577.850000,1.748
2010-10,4.225000,98.4424,219.04,62373845.00,92.60370,0.27,3235.00,8703.725000,1.745
2011-01,4.755000,99.0767,221.19,63464501.00,93.39440,0.29,3104.00,8853.060000,1.728
2011-04,4.840000,98.9447,224.09,63832666.00,93.65250,0.23,3259.00,9064.600000,1.714
2011-07,4.545000,99.6766,225.40,61982149.00,94.49310,0.24,3623.00,9238.325000,1.656
2011-10,4.067500,99.9406,226.75,63285393.00,95.69240,0.37,3619.00,9544.420000,1.648
2012-01,3.915000,98.8012,227.84,65209139.00,96.77900,0.40,3909.00,9768.840000,1.642
2012-04,3.910000,97.9000,229.19,65220363.00,97.29420,0.29,3793.00,9947.420000,1.631
2012-07,3.550000,98.1852,228.59,67035017.00,97.69220,0.30,3735.00,10000.140000,1.612
2012-10,3.382500,97.4425,231.64,67910565.00,97.54250,0.23,3775.00,10228.240000,1.586
2013-01,3.414000,97.8164,231.68,70625464.00,98.20290,0.23,3923.00,10516.425000,1.583
2013-04,3.445000,98.5435,231.80,71567745.00,98.96580,0.20,3988.00,10668.220000,1.574
2013-07,4.370000,97.7618,232.90,73895593.00,98.92580,0.14,3885.00,10677.520000,1.573
2013-10,4.192000,98.9281,233.67,75965227.00,99.92030,0.12,4222.00,10932.800000,1.565
2014-01,4.432000,98.0232,235.29,77696906.00,99.99900,0.12,4127.00,11111.050000,1.542
2014-04,4.337500,99.4080,236.47,79686076.00,101.84250,0.12,4566.00,11337.900000,1.548
2014-07,4.130000,99.3769,237.50,80248129.00,102.81630,0.13,4846.00,11391.050000,1.553
2014-10,4.036000,98.9475,237.43,81733470.00,102.98920,0.12,5012.00,11542.775000,1.542
2015-01,3.670000,100.6504,234.75,83478589.00,102.82390,0.16,5344.00,11761.950000,1.526
2015-04,3.672000,100.4811,236.22,84082852.00,101.24400,0.13,5598.00,12022.950000,1.528
2015-07,4.046000,101.6916,238.03,83084022.00,101.10520,0.19,6056.00,12016.000000,1.520
2015-10,3.796000,100.9812,237.73,84626294.00,100.18710,0.25,5773.00,12158.000000,1.502
2016-01,3.872500,101.4094,237.65,85864020.00,99.45580,0.57,6012.00,12484.175000,1.476
2016-04,3.605000,101.3675,238.99,87306996.00,98.46690,0.55,5803.00,12791.525000,1.466
2016-07,3.440000,101.6815,240.10,88797843.00,98.83600,0.62,5962.00,12841.375000,1.457
2016-10,3.470000,101.1823,241.74,89281933.00,98.73220,0.72,5591.00,13071.160000,1.450
2017-01,4.150000,100.3095,243.62,91661922.00,98.79870,0.90,5617.00,13292.820000,1.444
2017-04,4.045000,100.3026,244.19,93437298.00,100.00820,1.03,6091.00,13589.025000,1.437
2017-07,3.967500,99.9050,244.24,95057008.00,100.09470,1.22,6238.00,13577.900000,1.441
2017-10,3.895000,100.4118,246.63,97471787.00,100.99810,1.26,6408.00,13744.220000,1.451
2018-01,4.032500,100.6861,248.86,98590126.00,101.39390,1.63,6621.00,13884.180000,1.461
2018-04,4.467500,101.9578,250.23,99796195.00,103.34680,2.20,6877.00,14078.760000,1.465
2018-07,4.527500,100.0637,251.21,101767664.00,103.33340,2.17,7190.00,14106.020000,1.467
2018-10,4.830000,100.9529,252.77,98097927.00,103.93970,2.37,7304.00,14199.920000,1.465
2019-01,4.464000,100.2597,252.72,104105864.00,103.37300,2.59,7517.00,14434.375000,1.458
2019-04,4.142500,99.4548,255.21,106066004.00,102.24810,2.47,7191.00,14628.160000,1.460
2019-07,3.765000,100.2294,255.69,106675718.00,102.02360,2.22,7051.00,14801.840000,1.454
2019-10,3.688000,99.3342,257.24,110046191.00,101.60220,1.88,7325.00,15108.375000,1.438
2020-01,3.624000,99.3883,259.04,104153690.00,101.37680,1.65,7184.00,15409.600000,1.391
2020-04,3.306000,84.2234,256.09,111871044.00,84.59790,0.00,4686.00,17047.925000,1.128
2020-07,3.016000,99.9082,258.28,116001041.00,95.01440,0.18,6514.00,18257.250000,1.176
2020-10,2.834000,99.3411,260.29,124144947.00,96.42920,0.12,6820.00,18655.475000,1.163
2021-01,2.735000,101.9200,262.65,129081138.00,98.78360,0.14,7175.00,19365.800000,1.153
2021-04,3.060000,100.2242,266.67,135535565.00,98.28860,0.11,9288.00,20266.125000,1.145
2021-07,2.868000,101.7410,271.76,138652090.00,100.12310,0.10,10882.00,20538.725000,1.144
2021-10,3.067500,101.1717,276.52,142280264.00,100.30450,0.11,11368.00,21065.450000,1.156
2022-01,3.445000,102.5494,282.60,144445115.00,101.02270,0.22,11487.00,21638.720000,1.158
2022-04,4.982500,103.8367,288.61,139044812.00,102.79530,0.91,11755.00,21905.875000,1.179
2022-07,5.412500,102.6928,294.63,136243387.00,103.13280,2.50,11380.00,21579.675000,1.202
2022-10,6.900000,103.2432,297.99,137638929.00,103.41140,3.85,10471.00,21394.100000,1.234
2023-01,6.272500,102.1820,300.54,140582462.00,102.54780,4.61,10563.00,21308.020000,1.273
2023-04,6.342500,103.6524,302.92,145954794.00,103.12740,5.03,10320.00,20920.900000,1.300
